stop,route,route_stop,filmed,church_id,name,address,denomination,shot_status,confidence,lat,lon,maps_link,visited,notes
105,Route 07 — South West (10 stops),8,,hs-0107,ST. GEORGE MISSION CHURCH,108  DONNIE CT,Unknown,pending,low,34.484696,-93.102405,"https://www.google.com/maps/dir/?api=1&destination=34.48469588960503,-93.10240465772677",,
106,Route 07 — South West (10 stops),9,,hs-0086,RICHARD ST CHURCH OF CHRIST,948  AIRPORT RD,Church of Christ,pending,low,34.480072,-93.108587,"https://www.google.com/maps/dir/?api=1&destination=34.48007153643564,-93.10858679946762",,
107,Route 07 — South West (10 stops),10,,hs-0011,CHURCH OF CHRIST,SEASTRUNK TRL,Church of Christ,pending,low,34.480205,-93.110564,"https://www.google.com/maps/dir/?api=1&destination=34.48020519574633,-93.11056426069231",,
108,Route 08 — South West (12 stops),1,,hs-0075,NEW LIFE CHURCH OF ARKANSAS INC,MARWINETTE & THORNHILL,Unknown,pending,low,34.463516,-93.051540,"https://www.google.com/maps/dir/?api=1&destination=34.46351553623984,-93.05154025498271",,
109,Route 08 — South West (12 stops),2,,hs-0028,FIRST ASSEMBLY OF GOD CHURCH,3542  CENTRAL AVE,Pentecostal,pending,low,34.469488,-93.061326,"https://www.google.com/maps/dir/?api=1&destination=34.4694875022216,-93.06132563220974",,
110,Route 08 — South West (12 stops),3,,hs-0066,LEGACY CHURCH,NORMANDY ST,Unknown,pending,low,34.470201,-93.062457,"https://www.google.com/maps/dir/?api=1&destination=34.4702008071369,-93.06245693518821",,
111,Route 08 — South West (12 stops),4,,hs-0062,LAKEPOINTE LUTHERAN CHURCH,302  LARY ST,Lutheran,pending,low,34.468784,-93.064125,"https://www.google.com/maps/dir/?api=1&destination=34.46878392838416,-93.06412484262542",,
112,Route 08 — South West (12 stops),5,,hs-0027,FAITH UNITED METHODIST CHURCH,321  NASH ST,Methodist,pending,low,34.466892,-93.063186,"https://www.google.com/maps/dir/?api=1&destination=34.466892043699566,-93.06318555015622",,
113,Route 08 — South West (12 stops),6,,hs-0063,Lakeshore Church,1420 Lakeshore Drive,Unknown,pending,medium,34.470645,-93.067957,"https://www.google.com/maps/dir/?api=1&destination=34.4706452,-93.0679573",,
114,Route 08 — South West (12 stops),7,,hs-0078,OAKLAWN CHURCH OF GOD,2110  SEVENTH ST,Pentecostal,pending,low,34.477272,-93.069291,"https://www.google.com/maps/dir/?api=1&destination=34.477272490196945,-93.06929051709987",,
115,Route 08 — South West (12 stops),8,,hs-0080,Oaklawn United Methodist Church,216 Higdon Ferry Road,Methodist,pending,medium,34.481759,-93.060732,"https://www.google.com/maps/dir/?api=1&destination=34.4817591,-93.0607322",,
116,Route 08 — South West (12 stops),9,,hs-0077,Oaklawn Baptist Church,200 Oaklawn Street,Baptist,pending,medium,34.484322,-93.062889,"https://www.google.com/maps/dir/?api=1&destination=34.4843225,-93.062889",,
